ell,C_TT,C_TE,C_EE
2,1.7112788251919068e-08,8.553459615186037e-09,4.278197062979767e-09
3,1.6880092416496803e-08,8.434366835572425e-09,4.220023104124201e-09
4,1.670608140554967e-08,8.343743843199548e-09,4.176520351387418e-09
5,1.6566109384747815e-08,8.269278643850486e-09,4.141527346186954e-09
6,1.6448141044703016e-08,8.20496310754919e-09,4.112035261175754e-09
7,1.6345402237680477e-08,8.147418938374561e-09,4.086350559420119e-09
8,1.6253705829217048e-08,8.094560958982269e-09,4.063426457304262e-09
9,1.6170285128697686e-08,8.045014043781055e-09,4.042571282174422e-09
10,1.6093218137645574e-08,7.997825384579934e-09,4.0233045344113936e-09
11,1.6021116566790627e-08,7.952309095507738e-09,4.005279141697657e-09
12,1.595294583910587e-08,7.907956282500514e-09,3.9882364597764675e-09
13,1.5887915035289456e-08,7.86438006518542e-09,3.971978758822364e-09
14,1.582540653261062e-08,7.821280432449188e-09,3.956351633152655e-09
15,1.57649293218549e-08,7.778420927768756e-09,3.941232330463725e-09
16,1.570608704893233e-08,7.735612690038922e-09,3.926521762233082e-09
17,1.564855554213589e-08,7.692703232065596e-09,3.912138885533973e-09
18,1.559206663818348e-08,7.649568364466924e-09,3.89801665954587e-09
19,1.553639630253053e-08,7.606106263571096e-09,3.884099075632633e-09
20,1.548135574582472e-08,7.56223303486725e-09,3.87033893645618e-09
21,1.542678467398706e-08,7.517879341215997e-09,3.856696168496765e-09
22,1.5372546085651762e-08,7.472987803039296e-09,3.8431365214129405e-09
23,1.5318522210288125e-08,7.427510967424501e-09,3.829630552572031e-09
24,1.52646112997062e-08,7.3814097027077145e-09,3.81615282492655e-09
25,1.5210725066605057e-08,7.334651915536107e-09,3.802681266651264e-09
26,1.515678661972882e-08,7.287211515328727e-09,3.789196654932205e-09
27,1.5102728784443442e-08,7.239067570653847e-09,3.7756821961108604e-09
28,1.5048492725519296e-08,7.1902036160072036e-09,3.762123181379824e-09
29,1.4994026809117102e-08,7.140607077566374e-09,3.748506702279276e-09
30,1.4939285655767892e-08,7.090268793880981e-09,3.734821413941973e-09
31,1.4884229347091981e-08,7.039182612925948e-09,3.7210573367729953e-09
32,1.4828822757202995e-08,6.987345051037814e-09,3.7072056893007488e-09
33,1.4773034985944799e-08,6.9347550023488275e-09,3.6932587464861998e-09
34,1.4716838875843878e-08,6.881413489695818e-09,3.6792097189609695e-09
35,1.4660210598306395e-08,6.827323449800058e-09,3.665052649576599e-09
36,1.4603129297420929e-08,6.772489546926825e-09,3.650782324355232e-09
37,1.4545576781944054e-08,6.71691801033865e-09,3.6363941954860136e-09
38,1.4487537257793095e-08,6.660616491727497e-09,3.6218843144482736e-09
39,1.4428997094757087e-08,6.603593939502537e-09,3.6072492736892716e-09
40,1.4369944622244893e-08,6.5458604873624965e-09,3.5924861555612232e-09
41,1.431036994977992e-08,6.487427355025451e-09,3.57759248744498e-09
42,1.4250264808670875e-08,6.428306759347769e-09,3.5625662021677187e-09
43,1.418962241187331e-08,6.368511834355593e-09,3.5474056029683274e-09
44,1.412843732953492e-08,6.3080565589504945e-09,3.53210933238373e-09
45,1.4066705378110412e-08,6.246955691246668e-09,3.516676344527603e-09
46,1.4004423521255812e-08,6.185224708658422e-09,3.501105880313953e-09
47,1.3941589780980709e-08,6.122879752990514e-09,3.4853974452451772e-09
48,1.387820315776055e-08,6.0599375798952074e-09,3.4695507894401376e-09
49,1.3814263558497985e-08,5.996415512152965e-09,3.453565889624496e-09
50,1.3749771731379024e-08,5.932331396311737e-09,3.437442932844756e-09
51,1.3684729206801978e-08,5.867703562285534e-09,3.4211823017004946e-09
52,1.3619138243668629e-08,5.802550785568504e-09,3.404784560917157e-09
53,1.3553001780421938e-08,5.7368922517678205e-09,3.3882504451054845e-09
54,1.348632339029506e-08,5.67074752319875e-09,3.371580847573765e-09
55,1.3419107240305322e-08,5.604136507319478e-09,3.3547768100763305e-09
56,1.3351358053585643e-08,5.537079426812458e-09,3.337839513396411e-09
57,1.32830810746966e-08,5.469596791144263e-09,3.32077026867415e-09
58,1.3214282037605777e-08,5.40170936945743e-09,3.3035705094014442e-09
59,1.3144967136058779e-08,5.333438164666507e-09,3.2862417840146947e-09
60,1.3075142996098823e-08,5.2648043886466185e-09,3.268785749024706e-09
61,1.3004816650520116e-08,5.195829438416831e-09,3.251204162630029e-09
62,1.293399551506488e-08,5.126534873232819e-09,3.23349887876622e-09
63,1.2862687366195283e-08,5.056942392513815e-09,3.2156718415488207e-09
64,1.2790900320290385e-08,4.987073814538176e-09,3.197725080072596e-09
65,1.2718642814134626e-08,4.916951055849881e-09,3.1796607035336564e-09
66,1.2645923586578775e-08,4.846596111325391e-09,3.1614808966446936e-09
67,1.2572751661267048e-08,4.776031034856487e-09,3.143187915316762e-09
68,1.2499136330335274e-08,4.7052779206101734e-09,3.1247840825838186e-09
69,1.2425087138994814e-08,4.63435888483147e-09,3.1062717847487036e-09
70,1.2350613870925833e-08,4.5632960481592205e-09,3.087653467731458e-09
71,1.2275726534411154e-08,4.4921115184286805e-09,3.0689316336027886e-09
72,1.22004353491489e-08,4.420827373937985e-09,3.050108837287225e-09
73,1.2124750733688217e-08,4.349465647158499e-09,3.0311876834220542e-09
74,1.2048683293437886e-08,4.278048308871559e-09,3.0121708233594715e-09
75,1.1972243809202452e-08,4.206597252716468e-09,2.993060952300613e-09
76,1.189544322620491e-08,4.135134280136522e-09,2.9738608065512276e-09
77,1.181829264355886e-08,4.063681085711688e-09,2.954573160889715e-09
78,1.1740803304156552e-08,3.992259242868063e-09,2.935200826039138e-09
79,1.16629865849424e-08,3.920890189955666e-09,2.9157466462356e-09
80,1.1584853987544341e-08,3.849595216687326e-09,2.8962134968860854e-09
81,1.1506417129237975e-08,3.778395450932484e-09,2.876604282309494e-09
82,1.1427687734220725e-08,3.7073118458607103e-09,2.856921933555181e-09
83,1.1348677625175293e-08,3.6363651674305315e-09,2.837169406293823e-09
84,1.1269398715103606e-08,3.565575982219932e-09,2.8173496787759015e-09
85,1.1189862999414064e-08,3.4949646455954807e-09,2.797465749853516e-09
86,1.1110082548246536e-08,3.424551290217652e-09,2.777520637061634e-09
87,1.1030069499020808e-08,3.3543558148803025e-09,2.757517374755202e-09
88,1.094983604919561e-08,3.28439787368278e-09,2.7374590122989025e-09
89,1.0869394449226302e-08,3.2146968655333843e-09,2.7173486123065755e-09
90,1.0788756995710523e-08,3.1452719239832863e-09,2.6971892489276307e-09
91,1.070793602471193e-08,3.076141907390198e-09,2.6769840061779825e-09
92,1.0626943905253057e-08,3.007325389411322e-09,2.6567359763132642e-09
93,1.0545793032969134e-08,2.9388406498252456e-09,2.6364482582422834e-09
94,1.0464495823915392e-08,2.8707056656826055e-09,2.616123955978848e-09
95,1.0383064708521014e-08,2.802938102785383e-09,2.5957661771302536e-09
96,1.0301512125683578e-08,2.7355553074948285e-09,2.5753780314208944e-09
97,1.0219850516998269e-08,2.668574298867972e-09,2.5549626292495672e-09
98,1.0138092321116737e-08,2.6020117611227527e-09,2.5345230802791843e-09
99,1.0056249968230866e-08,2.535884036431721e-09,2.5140624920577164e-09
100,9.974335874677182e-09,2.470207118044325e-09,2.4935839686692956e-09
101,9.892362437658e-09,2.4049966437376253e-09,2.4730906094145e-09
102,9.810342030075728e-09,2.3402678895953434e-09,2.452585507518932e-09
103,9.728286995477129e-09,2.276035764114943e-09,2.432071748869282e-09
104,9.64620964310461e-09,2.2123148026424666e-09,2.4115524107761525e-09
105,9.564122243051822e-09,2.1491191621346216e-09,2.3910305607629556e-09
106,9.482037021521236e-09,2.086462616247615e-09,2.370509255380309e-09
107,9.399966156181428e-09,2.0243585507519946e-09,2.349991539045357e-09
108,9.317921771622146e-09,1.9628199592727034e-09,2.3294804429055364e-09
109,9.23591593490536e-09,1.901859439353353e-09,2.30897898372634e-09
110,9.153960651210657e-09,1.8414891888436101e-09,2.2884901628026642e-09
111,9.072067859573571e-09,1.7817210026083973e-09,2.2680169648933928e-09
112,8.990249428715499e-09,1.7225662695574794e-09,2.2475623571788747e-09
113,8.908517152964076e-09,1.6640359699938135e-09,2.227129288241019e-09
114,8.826882748262916e-09,1.6061406732788913e-09,2.206720687065729e-09
115,8.745357848269832e-09,1.5488905358131062e-09,2.186339462067458e-09
116,8.663954000542655e-09,1.4922952993290236e-09,2.1659885001356636e-09
117,8.582682662811951e-09,1.4363642894952435e-09,2.1456706657029878e-09
118,8.501555199339952e-09,1.3811064148283584e-09,2.125388799834988e-09
119,8.420582877365138e-09,1.3265301659103445e-09,2.1051457193412845e-09
120,8.339776863631966e-09,1.2726436149085239e-09,2.0849442159079915e-09
121,8.259148221005288e-09,1.2194544153950926e-09,2.064787055251322e-09
122,8.178707905169073e-09,1.1669698024629622e-09,2.044676976292268e-09
123,8.098466761409104e-09,1.1151965931345574e-09,2.024616690352276e-09
124,8.018435521479347e-09,1.0641411870599759e-09,2.0046088803698367e-09
125,7.938624800551745e-09,1.0138095675007908e-09,1.984656200137936e-09
126,7.859045094249226e-09,9.6420730259554e-10,1.9647612735623065e-09
127,7.779706775761729e-09,9.153395469028326e-10,1.944926693940432e-09
128,7.700620093045104e-09,8.672110432178027e-10,1.925155023261276e-09
129,7.621795166102739e-09,8.198261246574783e-10,1.9054487915256847e-09
130,7.543241984349827e-09,7.731887170104701e-10,1.8858104960874567e-09
131,7.464970404060138e-09,7.273023413462226e-10,1.8662426010150345e-09
132,7.386990145895245e-09,6.821701168789233e-10,1.8467475364738112e-09
133,7.309310792516115e-09,6.37794764081001e-10,1.8273276981290287e-09
134,7.231941786277018e-09,5.941786080409924e-10,1.8079854465692544e-09
135,7.154892427001684e-09,5.513235820604383e-10,1.788723106750421e-09
136,7.078171869841641e-09,5.092312314842844e-10,1.7695429674604102e-09
137,7.001789123216721e-09,4.679027177591854e-10,1.7504472808041802e-09
138,6.925753046837627e-09,4.2733882271391756e-10,1.7314382617094067e-09
139,6.850072349810557e-09,3.8753995305604227e-10,1.7125180874526392e-09
140,6.774755588823777e-09,3.485061450787866e-10,1.6936888972059442e-09
141,6.699811166416113e-09,3.1023706957203374e-10,1.6749527916040282e-09
142,6.625247329327255e-09,2.7273203693118876e-10,1.6563118323318138e-09
143,6.5510721669298155e-09,2.359900024575851e-10,1.6377680417324539e-09
144,6.4772936097430246e-09,2.0000957184399614e-10,1.6193234024357561e-09
145,6.403919428027968e-09,1.6478900683872582e-10,1.600979857006992e-09
146,6.330957230464246e-09,1.3032623108168727e-10,1.5827393076160614e-09
147,6.2584144629079106e-09,9.661883610575121e-11,1.5646036157269776e-09
148,6.186298407230546e-09,6.366408749662491e-11,1.5465746018076365e-09
149,6.114616180239306e-09,3.145893120441425e-11,1.5286540450598265e-09
150,6.043374732677746e-09,1.8237971987349604e-25,1.5108436831694366e-09
151,5.97258084830724e-09,-3.0716379930743356e-11,1.49314521207681e-09
152,5.902241143068753e-09,-6.069418226186661e-11,1.4755602857671883e-09
153,5.832362064324756e-09,-8.993767367843464e-11,1.458090516081189e-09
154,5.762949890180999e-09,-1.184514069108648e-10,1.4407374725452497e-09
155,5.694010728887877e-09,-1.4624021365961372e-10,1.4235026822219693e-09
156,5.625550518321087e-09,-1.7330919741733386e-10,1.4063876295802717e-09
157,5.5575750255412506e-09,-1.9966372619563615e-10,1.3893937563853126e-09
158,5.4900898464321644e-09,-2.253094251636088e-10,1.3725224616080411e-09
159,5.423100405417311e-09,-2.50252169205246e-10,1.3557751013543277e-09
160,5.356611955254232e-09,-2.7449807540293223e-10,1.339152988813558e-09
161,5.2906295769063715e-09,-2.980534954541125e-10,1.3226573942265929e-09
162,5.225158179491939e-09,-3.20925008028285e-10,1.3062895448729847e-09
163,5.160202500309329e-09,-3.4311941107139763e-10,1.2900506250773322e-09
164,5.0957671049386355e-09,-3.6464371406472735e-10,1.2739417762346589e-09
165,5.031856387418741e-09,-3.855051302452754e-10,1.2579640968546851e-09
166,4.9684745704994465e-09,-4.0571106879466756e-10,1.2421186426248616e-09
167,4.905625705968093e-09,-4.2526912700350274e-10,1.2264064264920233e-09
168,4.8433136750501026e-09,-4.441870824180415e-10,1.2108284187625256e-09
169,4.78154218888282e-09,-4.6247288497606676e-10,1.195385547220705e-09
170,4.7203147890620415e-09,-4.801346491386776e-10,1.1800786972655104e-09
171,4.65963484826057e-09,-4.971806460247082e-10,1.1649087120651425e-09
172,4.599505570918122e-09,-5.136192955543875e-10,1.1498763927295306e-09
173,4.539929994001888e-09,-5.294591586087726e-10,1.134982498500472e-09
174,4.480910987837019e-09,-5.447089292114015e-10,1.1202277469592548e-09
175,4.42245125700629e-09,-5.593774267384995e-10,1.1056128142515725e-09
176,4.364553341318165e-09,-5.73473588164009e-10,1.0911383353295413e-09
177,4.307219616842474e-09,-5.870064603455713e-10,1.0768049042106185e-09
178,4.250452297012874e-09,-5.999851923575065e-10,1.0626130742532185e-09
179,4.1942534337952455e-09,-6.124190278766963e-10,1.0485633584488114e-09
180,4.138624918921171e-09,-6.243172976271887e-10,1.0346562297302928e-09
181,4.083568485185594e-09,-6.356894118891908e-10,1.0208921212963985e-09
182,4.029085707807741e-09,-6.465448530779929e-10,1.0072714269519353e-09
183,3.975178005854389e-09,-6.568931683982542e-10,9.937945014635972e-10
184,3.92184664372449e-09,-6.667439625789097e-10,9.804616609311226e-10
185,3.86909273269421e-09,-6.761068906938515e-10,9.672731831735525e-10
186,3.8169172325213325e-09,-6.849916510733609e-10,9.542293081303331e-10
187,3.765320953108055e-09,-6.934079783111489e-10,9.413302382770137e-10
188,3.714304556221095e-09,-7.013656363716809e-10,9.285761390552738e-10
